Date,BTC_Price,BTC_Open,BTC_High,BTC_Low,BTC_Vol.,Change %,DowJones_Price,Nasdaq_Price,S&P_Price,Gold_Price,BrentOil_Price,Weighted_Average_Sentiment,Most_Influential_Sentiment,Majority_Sentiment
2019-09-14,"10,379.0","10,374.0","10,478.0","10,256.0",3.16K,0.05%,,,,,,-0.01876831240952015,Negative,Positive
2019-09-15,"10,322.0","10,381.0","10,402.0","10,287.0",1.88K,-0.55%,,,,,,-0.01266919420315669,Positive,Negative
2019-09-16,"10,295.0","10,321.0","10,399.0","10,100.0",5.52K,-0.26%,"27,076.82","8,153.54","2,998.00",1511.5,68.42,-0.05338964543559335,Negative,Negative
2019-09-17,"10,214.1","10,290.0","10,308.0","10,171.0",2.94K,-0.79%,"27,110.80","8,186.02","3,005.70",1513.4,65.59,0.02834369710513523,Negative,Positive
2019-09-18,"10,185.0","10,214.1","10,278.0","10,111.0",3.34K,-0.28%,"27,147.08","8,177.39","3,006.70",1515.8,64.29,-0.08964085827271144,Negative,Negative
2019-09-19,"10,301.0","10,185.0","10,417.0","9,655.0",9.77K,1.14%,"27,094.79","8,182.88","3,006.80",1506.2,64.25,-0.03929978838333717,Negative,Negative
2019-09-20,"10,198.0","10,303.0","10,340.0","10,105.0",2.51K,-1.00%,"26,935.07","8,117.67","2,992.10",1521.5,65.23,-0.1586780200401942,Negative,Negative
2019-09-21,"10,013.0","10,197.0","10,199.0","9,958.1",2.98K,-1.81%,,,,,,-0.02085901200771332,Negative,Positive
2019-09-22,"10,052.0","10,012.0","10,105.0","9,881.4",2.75K,0.39%,,,,,,0.3164348331364719,Positive,Positive
2019-09-23,"9,702.6","10,055.0","10,077.0","9,627.5",5.49K,-3.48%,"26,949.99","8,112.46","2,991.80",1531.5,64.66,-0.1603565247435319,Negative,Negative
2019-09-24,"8,547.9","9,702.6","9,788.1","8,110.1",34.87K,-11.90%,"26,807.77","7,993.63","2,966.60",1540.2,64.13,-0.2307258798317476,Negative,Negative
2019-09-25,"8,474.7","8,535.0","8,770.0","8,266.1",12.77K,-0.86%,"26,970.71","8,077.38","2,984.90",1512.3,62.41,-0.1968653822938601,Negative,Negative
