Date,BTC_Price,BTC_Open,BTC_High,BTC_Low,BTC_Vol.,Change %,DowJones_Price,Nasdaq_Price,S&P_Price,Gold_Price,BrentOil_Price,Weighted_Average_Sentiment,Most_Influential_Sentiment,Majority_Sentiment
2021-06-30,35043.5,35895.9,35981.0,34754.0,3450.0,-0.023700000000000002,34502.51,14503.95,4297.5,1771.6,76.94,0.02744042635827825,Negative,Positive
2021-07-01,33554.4,35043.5,35043.5,32821.0,5820.0,-0.0425,34633.53,14522.38,4319.9,1776.8,76.69,-0.01678587188796392,Negative,Positive
2021-07-02,33816.0,33554.4,33924.0,32727.0,5150.0,0.0078000000000000005,34786.35,14639.33,4352.3,1785.2,77.51,-0.1712589644287762,Negative,Negative
2021-07-03,34758.0,33816.0,34762.0,33561.6,2890.0,0.0279,34786.35,14639.33,4352.3,1785.2,77.51,-0.0806011652074209,Negative,Negative
2021-07-04,35289.0,35494.0,35782.0,35289.0,2930.0,0.015300000000000001,34786.35,14639.33,4352.3,1785.2,77.51,-0.008995385397048224,Positive,Negative
2021-07-05,33668.0,35289.0,35289.0,33479.2,7720.0,-0.045899999999999996,34786.35,14639.33,4352.3,1800.8,78.34,-0.04666113676661152,Positive,Negative
2021-07-06,34140.0,33668.0,34858.8,33668.0,8810.0,0.013999999999999999,34577.37,14663.64,4343.5,1794.2,75.81,-0.08831124320145577,Positive,Negative
2021-07-07,33886.0,34256.0,35076.0,33826.0,3510.0,-0.0074,34681.79,14665.06,4358.1,1802.1,74.31,-0.02914648040615279,Negative,Positive
2021-07-08,32873.9,33886.0,33939.0,32063.0,14290.0,-0.029900000000000003,34421.93,14559.78,4320.8,1800.2,75.07,-0.130866003257257,Negative,Negative
2021-07-09,33769.0,32873.9,34044.0,32574.0,6660.0,0.027200000000000002,34870.16,14701.92,4369.6,1816.7,77.14,-0.002114528295945148,Negative,Positive
2021-07-10,33506.0,33769.0,34221.0,33024.0,6460.0,-0.0078000000000000005,34870.16,14701.92,4369.6,1816.7,77.14,-0.07329873647540808,Positive,Negative
2021-07-11,34239.0,33506.0,34584.0,33317.0,2150.0,0.0219,34870.16,14701.92,4369.6,1816.7,77.14,-0.03529597073793411,Positive,Negative
2021-07-12,33090.0,34239.0,34624.0,32616.0,8410.0,-0.0336,34996.18,14733.24,4384.6,1805.9,76.77,0.1379740863549905,Positive,Positive
2021-07-13,32727.0,33090.0,33333.0,32210.0,4019.9999999999995,-0.011000000000000001,34888.79,14677.65,4369.2,1809.9,77.5,-0.01937258137123925,Positive,Positive
